init_date,lead_months,valid_year,valid_month,seas5_drought_mean,seas5_drought_max,actual_drought_risk,simulated,n_members
2023-01,1,2023,2,2.0,2,0,False,51
2023-01,2,2023,3,2.0,2,0,False,51
2023-01,3,2023,4,1.765,2,0,False,51
2023-01,4,2023,5,1.627,3,0,False,51
2023-01,5,2023,6,1.098,2,0,False,51
2023-01,6,2023,7,0.98,2,0,False,51
2023-04,1,2023,5,0.353,1,0,False,51
2023-04,2,2023,6,0.157,1,0,False,51
2023-04,3,2023,7,0.098,1,0,False,51
2023-04,4,2023,8,0.176,1,0,False,51
2023-04,5,2023,9,0.0,0,0,False,51
2023-04,6,2023,10,0.0,0,1,False,51
2023-10,1,2023,11,0.706,1,0,False,51
2023-10,2,2023,12,0.49,1,0,False,51
2023-10,3,2024,1,0.294,1,0,False,51
2023-10,4,2024,2,0.608,1,0,False,51
2023-10,5,2024,3,0.471,1,0,False,51
2023-10,6,2024,4,0.373,1,0,False,51
2024-01,1,2024,2,2.0,2,0,False,51
2024-01,2,2024,3,1.882,2,0,False,51
2024-01,3,2024,4,1.843,2,0,False,51
2024-01,4,2024,5,2.098,4,1,False,51
2024-01,5,2024,6,1.431,3,1,False,51
2024-01,6,2024,7,1.294,2,0,False,51
2024-04,1,2024,5,0.902,1,1,False,51
2024-04,2,2024,6,0.392,1,1,False,51
2024-04,3,2024,7,0.157,1,0,False,51
2024-04,4,2024,8,0.098,1,0,False,51
2024-04,5,2024,9,0.0,0,0,False,51
2024-04,6,2024,10,0.0,0,0,False,51
2024-10,1,2024,11,0.0,0,0,False,51
2024-10,2,2024,12,0.0,0,0,False,51
2024-10,3,2025,1,0.0,0,0,False,51
2024-10,4,2025,2,0.588,1,0,False,51
2024-10,5,2025,3,0.431,1,0,False,51
2024-10,6,2025,4,0.353,1,1,False,51
