time,dmi
2018-03-01,-0.12
2018-04-01,-0.083
2018-05-01,0.122
2018-06-01,0.155
2018-07-01,0.053
2018-08-01,0.122
2018-09-01,0.604
2018-10-01,0.685
2018-11-01,0.5
2018-12-01,0.309
2019-01-01,0.387
2019-02-01,0.416
2019-03-01,0.224
2019-04-01,0.258
2019-05-01,0.539
2019-06-01,0.605
2019-07-01,0.597
2019-08-01,0.436
2019-09-01,0.893
2019-10-01,0.964
2019-11-01,0.835
2019-12-01,0.243
2020-01-01,0.173
2020-02-01,0.054
2020-03-01,0.019
2020-04-01,-0.011
2020-05-01,0.298
2020-06-01,0.454
2020-07-01,0.32
2020-08-01,-0.183
2020-09-01,-0.19
2020-10-01,0.074
2020-11-01,0.02
2020-12-01,0.03
2021-01-01,0.051
2021-02-01,0.243
2021-03-01,0.266
2021-04-01,0.25
2021-05-01,0.009
2021-06-01,-0.002
2021-07-01,-0.228
2021-08-01,-0.099
2021-09-01,-0.058
2021-10-01,-0.091
2021-11-01,0.069
2021-12-01,-0.12
2022-01-01,-0.056
2022-02-01,-0.083
2022-03-01,-0.093
2022-04-01,-0.068
2022-05-01,-0.122
2022-06-01,-0.335
2022-07-01,-0.195
2022-08-01,-0.246
2022-09-01,-0.322
2022-10-01,-0.691
2022-11-01,-0.269
2022-12-01,-0.092
2023-01-01,0.109
2023-02-01,0.157
2023-03-01,0.415
2023-04-01,0.56
2023-05-01,0.443
2023-06-01,0.665
2023-07-01,0.498
2023-08-01,0.825
2023-09-01,0.946
2023-10-01,0.804
2023-11-01,0.92
2023-12-01,0.851
2024-01-01,0.765
2024-02-01,0.328
2024-03-01,0.421
2024-04-01,0.44
2024-05-01,0.297
2024-06-01,0.197
2024-07-01,0.033
2024-08-01,0.267
2024-09-01,0.115
2024-10-01,-0.196
2024-11-01,-0.383
2024-12-01,-0.331
2025-01-01,-0.196
2025-02-01,0.017
2025-03-01,0.059
2025-04-01,0.149
